name,artist,genre,initial
所以我伸出了手,星尘,中术,s
碎梦,乐正绫,中术,s
下等马,洛天依,中术,x
代替我,洛天依,中术,t
然而我不是神,洛天依,中术,r
凄美地,郭顶,流行,q
爱人错过,告五人,流行,a
梦语,乐正绫,中术,m
被伪造的偶像,三无Marblue,流行,b
少女艾尔法,狐狸座,中术,s
妄语人间,忘川风华录,古风,w
我属于火山口,洛天依,中术,w
I LOVE U,洛天依,中术,i
种族假象,乐正绫,中术,z
秘宝,洛天依,中术,m
TIMEs,洛天依,中术,t
医生D,洛天依,中术,y
SaIN,洛天依,中术,s
双向倾诉,洛天依,中术,s
我买下了夜晚所有光,洛天依,中术,w
我放走了那天的流星,星尘,中术,w
安娜的橱窗,洛天依,中术,a
木星，木星,星尘,中术,m
你在看哪呢,星尘,中术,n
海底,一支榴莲,流行,h
蒲公英之路,洛天依,中术,p
Call of silence,澤野弘之,动漫插曲,c
雪之花,平行四界,中术,x
鳥の詩,折户神治,动漫插曲,t
You Belong With Me,Taylor Swift,流行,y
免我蹉跎苦,黄龄,古风、流行,m
爱人,周莉莉她说,流行,a
人是猫,洛天依,中术,r
马,福禄寿,流行,m
超度我,福禄寿,流行,c
我用什么把你留住,福禄寿,流行,w
阿果,谭维维,流行,a
唯一,告五人,流行,w
晴天,周杰伦,流行,q
不怕,赵蓓、赵蕾,中文,b
走马,陈粒,流行,z
虚拟,陈粒,流行,x
小半,陈粒,流行,x
雨爱,杨丞琳,流行,y
后来,刘若英,流行,h
借过,印子月,流行,j
心墙,郭静,流行,x
遇见,孙燕姿,流行,y
大鱼,周深,古风、流行,d
探窗,浮生梦,古风,t
葬花吟,双笙,古风,z
叹人间,双笙,古风,t
赤伶,HITA,古风,c
精卫,一颗狼星,古风,j
爱殇,小时姑娘,流行,a
年轮,张碧晨,古风、流行,n
演员,薛之谦,流行,y
野心,薛之谦,流行,y
樱花草,Sweety,流行,y
萱草花,张小斐,流行,x
童话镇,暗杠,流行,t
他不懂,张杰,流行,t
采茶纪,双笙,古风、流行,c
小情歌,苏打绿,流行,x
不值得,梦飞船,流行,b
燕无歇,蒋雪儿,古风,y
牵丝戏,银临,古风,q
过春痕,银临,古风,g
腐草为萤,银临,古风,f
九万字,黄诗扶,古风,j
沈园外,阿YueYue,古风,s
坏女孩,徐良,流行,h
梦回还,呦猫UNEKO,动漫歌曲,m
水星记,郭顶,流行,s
新地球,林俊杰,流行,x
太聪明,陈绮贞,流行,t
丑八怪,薛之谦,流行,c
干物女,洛天依,中术,g
告死鸟,洛天依,中术,g
夏天的风,温岚,流行,x
爱丫爱丫,BY2,流行,a
最后一页,江语晨,流行,z
无人之岛,任然,流行,w
身骑白马,徐佳莹,流行,s
秋殇别恋,牙牙乐,流行,q
天外来物,薛之谦,流行,t
时间煮雨,郁可唯,流行,s
错位时空,艾辰,流行,c
霜雪千年,洛天依,中术、古风,s
暮色回响,张韶涵,流行,m
巴拉莱卡,门尼,流行,b
世末歌者,乐正绫,中术,s
勾指起誓,洛天依,中术,g
光年之外,邓紫棋,流行,g
偏爱,张芸京,流行,p
红色高跟鞋,蔡健雅,流行,h
东京不太热,洛天依,中术,d
星光下的梦想,郭易,儿歌,x
我好像在哪见过你,薛之谦,流行,w
第57次取消发送,菲菲公主,流行,d
我的悲伤是水做的,洛天依,中术,w
月亮代表我的心,邓丽君,流行,y
我恨明月不照我,阿yueyue,古风、流行,w
我的一个道姑朋友,双笙,古风,w
离开你的依赖,王艳薇,流行,l
认真的雪,薛之谦,流行,r
惊鹊,忘川风华录,古风,j
花虹,云之泣,古风,h
凉凉,张碧晨,古风,l
日不落,蔡健雅,流行,r
被驯服的象,蔡健雅,流行,b
锦鲤抄,银临,古风,j
雾里,姚六一,流行,w
囍,葛东琪,古风,x
失眠飞行,接个吻，开一枪,流行,s
匆匆那年,王菲,流行,c
淋雨一直走,张韶涵,流行,l
这世界那么多人,莫文蔚,流行,z
问风,金渔,流行,w
珠玉,单依纯,流行,z
笼,张碧晨,流行,l
关键词,林俊杰,流行,g
奇妙能力歌,陈粒,流行,q
泡沫,邓紫棋,流行,p
爱情讯息,郭静,流行,a
青衣,尘ah.,古风,q
虞兮叹,闻人听书,古风,y
天下,张杰,古风,t
李白,李荣浩,流行,l
求神呐,柏鹿,流行,q
弄舌,王子建,流行,n
鸳鸯戏,Babystop_山竹/伊笑,古风,y
红昭愿,音阙诗听,古风,h
莫问归期,蒋雪儿,古风,m
春庭雪,橙翼,古风,c
锁,灼夭,流行,s
谁家,林渝植,古风、流行,s
畏光症,洛天依,中术,w
懒人,洛天依,中术,l
难生恨,DAWN,古风,n
爱你是我的秘密,庄琪玟,流行,a
死別,GUMI,日术,s
庭園にて,acane_madder,日术,n
半壶纱,刘珂矣,古风,b
恋人,李荣浩,流行,l
春,陈文菲,流行,c
在夏日尽头的我们,诗岸,中术,z
洛阳纸,许嵩,流行,l
寄明月,乐正绫,中术、古风,j
泪桥,伍佰,流行,l
开不了口,周杰伦,流行,k
讨厌,芮恩,流行,t
泡泡,牛佳钰,流行,p
city of star,爱乐之城,流行,c
Take me hand,DAISHI DANCE,流行,t
Life we sow,Mili,游戏歌曲,l
奶水,Mili,流行,n
铁花飞,Mili,游戏歌曲,t
清空,王忻辰 / 苏星婕,流行,q
屑屑,chilichili,流行,x
轻涟,原神,游戏歌曲,q
神女劈观,原神,游戏歌曲,s
不眠之夜,崩坏星穹铁道,游戏歌曲,b
下山,朱斌语,古风、流行,x
画心,张靓颖,古风,h
不染,毛不易,古风,b
发如雪,周杰伦,流行,f
左手指月,萨顶顶,古风,z
人是猫,洛天依,中术,r
打火机,Penny,流行,d
5：20AM,刀酱,流行,w
莫愁乡,亚细亚旷世奇才,rap,m
两难,加木,rap,l
